channelnum,channelcode,title
1,00000001000000050000000000000152,CCTV-1高清
2,00000001000000050000000000000477,CCTV-2高清
3,00000001000000050000000000000487,CCTV-3高清
4,00000001000000050000000000000573,CCTV-4高清
5,00000001000000050000000000000481,CCTV-5高清
6,00000001000000050000000000000153,CCTV5+高清
7,00000001000000050000000000000484,CCTV-6高清
8,00000001000000050000000000000485,CCTV-7高清
9,00000001000000050000000000000476,CCTV-8高清
10,00000001000000050000000000000478,CCTV-9高清
11,00000001000000050000000000000480,CCTV-10高清
12,00000001000000050000000000000583,CCTV-11高清
13,00000001000000050000000000000482,CCTV-12高清
14,00000001000000050000000000000602,CCTV-13高清
15,00000001000000050000000000000483,CCTV-14少儿高清
16,00000001000000050000000000000587,CCTV-15高清
17,00000001000000050000000000000620,CCTV-16解密50p
18,00000001000000050000000000000580,CCTV-17高清
19,30000001000000050000000000000070,重庆卫视高清
20,30000001000000050000000000000355,重庆新闻高清
21,30000001000000050000000000000357,重庆影视剧高清
22,30000001000000050000000000000359,重庆社会与法高清
23,30000001000000050000000000000362,重庆红岩文化高清
24,30000001000000050000000000000360,重庆娱乐高清
25,30000001000000050000000000000363,重庆新农村高清
26,30000001000000050000000000000364,重庆少儿高清
27,30000001000000050000000000000358,重庆红叶高清
28,30000001000000050000000000000356,重庆汽摩高清
29,30080001000000580000000000000451,CQTV移动高清
31,00000001000000050000000000005325,中学生
34,00000001000000050000000000005317,中国交通
36,00000001000000050000000000000198,江苏卫视高清
37,00000001000000050000000000000265,浙江卫视高清
38,00005000000000000000000000000263,东方卫视高清
39,00000001000000050000000000000197,深圳卫视高清
40,00000001000000050000000000000194,北京卫视高清
41,00000001000000050000000000000470,山东卫视高清
42,00000001000000050000000000000266,天津卫视高清
43,00000001000000050000000000000577,贵州卫视高清
44,30000001000000050000000000000368,四川卫视高清
45,00000001000000050000000000005329,云南卫视高清
46,00000001000000050000000000000086,广西卫视
47,00000001000000050000000000000196,黑龙江卫视高清
48,00000001000000050000000000000473,安徽卫视高清
49,00000001000000050000000000000099,山西卫视
50,30000001000000580000000000000416,江西卫视高清
51,00000001000000050000000000000267,湖北卫视高清
52,30080001000000580000000000000452,海南卫视高清
53,00000001000000050000000000000657,陕西卫视高清
54,30000001000000050000000000000367,东南卫视高清
55,31000001000000050000000000000308,吉林卫视高清
56,00000001000000050000000000000472,辽宁卫视高清
57,00000001000000050000000000000658,内蒙古卫视高清
58,00000001000000050000000000000195,湖南卫视高清
59,00000001000000050000000000000445,广东卫视高清
60,00000001000000050000000000001004,河南卫视高清
61,00000001000000050000000000000575,河北卫视高清
62,00000001000000050000000000000640,宁夏卫视高清
63,00000001000000050000000000005322,甘肃卫视高清
65,00000001000000050000000000000150,卡酷动画
66,00000001000000050000000000000151,金鹰卡通
67,00000001000000050000000000000448,嘉佳卡通
69,00000001000000050000000000000096,青海卫视
70,00000001000000050000000000000641,新疆卫视高清
71,00000001000000050000000000000639,西藏卫视高清
72,00000001000000050000000000000642,兵团卫视高清
81,00000001000000050000000000000148,CGTN
83,00000001000000050000000000000183,财富天下
118,00000001000000050000000000005324,山东教育高清
119,00000001000000050000000000000568,CETV1高清
120,00000001000000050000000000005319,CETV4高清
123,30000001000000580000000000000441,快乐垂钓
124,30080001000000580000000000000447,茶高清
125,30080001000000580000000000000460,求索纪录
126,30080001000000580000000000000462,精彩影视
127,30080001000000580000000000000457,CHC家庭影院
128,30080001000000580000000000000458,CHC动作电影
129,30080001000000580000000000000459,CHC影迷电影
130,Umai:CHAN/6000048@BESTV.SMG.SMG,欢笑剧场
131,Umai:CHAN/1555881@BESTV.SMG.SMG,都市剧场HD
132,Umai:CHAN/1555886@BESTV.SMG.SMG,动漫秀场HD
133,Umai:CHAN/1555894@BESTV.SMG.SMG,游戏风云HD
135,Umai:CHAN/4492970@BESTV.SMG.SMG,金色频道HD
136,Umai:CHAN/4492967@BESTV.SMG.SMG,法治天地HD
138,Umai:CHAN/1555893@BESTV.SMG.SMG,生活时尚HD
150,00000001000000050000000000000606,CCTV-4K解密50p
151,00000001000000050000000000000654,东方卫视4K
152,00000001000000050000000000000648,江苏卫视4K
153,00000001000000050000000000000650,浙江卫视4K
154,00000001000000050000000000000652,山东卫视4K
155,00000001000000050000000000000645,湖南卫视4K
156,00000001000000050000000000000643,四川卫视4K
201,00000001000000050000000000000083,重庆卫视
202,30000001000000050000000000000018,CQTV新闻
203,30000001000000050000000000000019,CQTV影视剧
204,30000001000000050000000000000022,CQTV社会与法
205,30000001000000050000000000000025,CQTV红岩文化
206,30000001000000050000000000000023,CQTV娱乐
207,30000001000000050000000000000024,CQTV新农村
208,30000001000000050000000000000055,CQTV少儿
209,30000001000000050000000000000020,CQTV红叶
211,30000001000000050000000000000030,CQTV汽摩
212,30000001000000050000000000000029,CQTV移动
217,00000001000000050000000000000055,CCTV-1
218,00000001000000050000000000000058,CCTV-2
219,00000001000000050000000000000061,CCTV-3
220,00000001000000050000000000000053,CCTV-4
221,00000001000000050000000000000068,CCTV-5
222,00000001000000050000000000000071,CCTV-6
223,00000001000000050000000000000102,CCTV-7
224,00000001000000050000000000000080,CCTV-8
225,00000001000000050000000000000084,CCTV-9
226,00000001000000050000000000000087,CCTV-10
227,00000001000000050000000000000056,CCTV-11
228,00000001000000050000000000000059,CCTV-12
229,00000001000000050000000000000063,CCTV-13
230,00000001000000050000000000000066,CCTV-14
231,00000001000000050000000000000064,CCTV-15
233,00000001000000050000000000000581,CCTV-17
234,00000001000000050000000000000072,江苏卫视
235,00000001000000050000000000000070,浙江卫视
236,00000001000000050000000000000076,东方卫视
238,00000001000000050000000000000073,北京卫视
240,00000001000000050000000000000093,天津卫视
241,00000001000000050000000000000081,贵州卫视
242,00000001000000050000000000000095,山东卫视
243,00000001000000050000000000000069,四川卫视
244,00000001000000050000000000000065,江西卫视
245,00000001000000050000000000000092,湖北卫视
246,00000001000000050000000000000057,安徽卫视
247,00000001000000050000000000000088,海南卫视
248,00000001000000050000000000000091,吉林卫视
249,00000001000000050000000000000060,云南卫视
250,00000001000000050000000000000097,新疆卫视
253,00000001000000050000000000000100,西藏卫视
254,00000001000000050000000000000062,辽宁卫视
255,00000001000000050000000000000075,东南卫视
256,00000001000000050000000000000067,湖南卫视
257,00000001000000050000000000000089,广东卫视
258,00000001000000050000000000000149,深圳卫视
259,00000001000000050000000000000079,河北卫视
260,00000001000000050000000000000078,黑龙江卫视
261,00000001000000050000000000000082,宁夏卫视
262,00000001000000050000000000000085,河南卫视
263,00000001000000050000000000000090,陕西卫视
264,00000001000000050000000000000098,内蒙古卫视
270,00000001000000050000000000005316,优优宝贝
301,00000001000000050000000000000633,北京卫视4K
302,00000001000000050000000000000636,广东卫视4k
303,00000001000000050000000000000638,深圳卫视4k
400,00000001000000050000000000000106,魅力时尚(轮播频道)
401,00000001000000050000000000000104,爱综艺(轮播频道)
402,00000001000000050000000000000105,爱体育(轮播频道)
403,00000001000000050000000000000107,爱电影(轮播频道)
404,00000001000000050000000000000146,IPTV8+(轮播频道)
405,00000001000000050000000000000264,IPTV相声小品(轮播频道)
406,00000001000000050000000000000262,IPTV野外(轮播频道)
407,00000001000000050000000000000263,IPTV法治(轮播频道)
408,00000001000000050000000000000108,热播剧场(轮播频道)
409,00000001000000050000000000000109,经典电影(轮播频道)
410,00000001000000050000000000000499,城市剧场(轮播频道)
411,00000001000000050000000000000500,军旅剧场(轮播频道)
412,00000001000000050000000000000501,古装剧场(轮播频道)
413,00000001000000050000000000000502,音乐现场(轮播频道)
414,00000001000000050000000000000498,地理(轮播频道)
415,00000001000000050000000000000503,美妆(轮播频道)
416,00000001000000050000000000000504,美人(轮播频道)
417,00000001000000050000000000000505,精选(轮播频道)
418,00000001000000050000000000000506,解密(轮播频道)
419,00000001000000050000000000000507,军事(轮播频道)
420,00000001000000050000000000000509,国学(轮播频道)
421,00000001000000050000000000000510,戏曲(轮播频道)
422,00000001000000050000000000000511,早教(轮播频道)
423,00000001000000050000000000000512,动画(轮播频道)
424,00000001000000050000000000000513,好学生(轮播频道)
425,00000001000000050000000000000514,鉴赏(轮播频道)
426,00000001000000050000000000000515,墨宝(轮播频道)
427,00000001000000050000000000000516,光影(轮播频道)
428,00000001000000050000000000000518,台球(轮播频道)
429,00000001000000050000000000000519,爱生活(轮播频道)
430,00000001000000050000000000000520,武术(轮播频道)
431,00000001000000050000000000000521,高网(轮播频道)
432,00000001000000050000000000000522,足球(轮播频道)
433,00000001000000050000000000000523,武侠剧场(轮播频道)
434,00000001000000050000000000000524,喜剧影院(轮播频道)
435,00000001000000050000000000000525,动作影院(轮播频道)
436,00000001000000050000000000000526,家庭影院(轮播频道)
437,00000001000000050000000000000527,星影(轮播频道)
438,00000001000000050000000000000260,IPTV谍战剧场
439,00000001000000050000000000000103,少儿动画
440,31000001000000050000000000000307,爱上4K(轮播频道)
